2203	230.00
2233	230.00
2624	230.00
4162	230.00
4301	230.00
4461	230.00
5002	230.00
6002	230.00
7021	230.00
7073	230.00
7078	230.00
7083	230.00
7166	230.00
7171	230.00
2493	500.00
6436	500.00
20244	160.00
20245	160.00
20246	160.00
20247	160.00
20248	160.00
20249	160.00
20868	200.00
30000	150.00
30002	220.00
30003	220.00
30004	200.00
30005	200.00
30006	270.00
30007	270.00
30008	270.00
20252	200.00
20275	200.00
36005	200.00
36006	200.00
6500	184.00
6501	184.00
6502	368.00
6503	368.00
6504	500.00
7550	220.00
7557	220.00
7564	220.00
7571	220.00
7578	220.00
7585	220.00
6752	260.00
6753	260.00
6754	260.00
6756	530.00
6852	260.00
6853	260.00
6854	260.00
6856	530.00
6760	280.00
6764	320.00
6784	260.00
6792	260.00
6877	280.00
6881	320.00
6770	220.00
6770	220.00
6882	220.00
6522	260.00
6523	260.00
6524	260.00
6525	520.00
6526	520.00
6527	520.00
6528	520.00
6531	520.00
6532	520.00
7210	800.00
7211	800.00
7212	800.00
7213	800.00
7214	800.00
7215	800.00
7216	800.00
34183	120.00
34184	120.00
40003	70.00
34036	95.00
34037	110.00
34047	3.00
34049	97.00
34050	105.00
34053	105.00
34054	110.00
34064	140.00
34065	160.00
34073	120.00
34074	130.00
34076	120.00
34080	100.00
34081	140.00
34086	140.00
34087	140.00
34088	140.00
34097	5.00
34098	5.00
34099	5.00
34148	10.00
34156	140.00
34157	140.00
34158	140.00
34162	45.00
34163	45.00
34164	45.00
34180	20.00
34181	20.00
34182	20.00
34048	5.00
34166	102.00
34197	20.00
34198	20.00
34199	20.00
34200	60.00
34201	60.00
34202	60.00
34210	20.00
34211	20.00
34212	20.00
34218	130.00
34219	130.00
34220	135.00
34221	170.00
34222	135.00
34223	135.00
34224	155.00
34226	5.00
34228	130.00
34229	5.00
34230	5.00
34231	5.00
40004	70.00
40005	70.00
36000	170.00
36001	170.00
4400	500.00
4410	500.00
6415	500.00
